iterations, archive avg total fitness, archive avg geo fitness, archive avg enemy fitness, archive avg furnish fitness, avg delta total fitness, elites total, elites totalFitness above 0.8
500, NaN, 0.8315297, NaN, 0.6935738, 0.07916873, 103, 102
1000, NaN, 0.835949, NaN, 0.7076052, 0.06875864, 123, 122
1500, NaN, 0.842505, NaN, 0.7145417, 0.05487577, 148, 146
2000, NaN, 0.8449844, NaN, 0.7210295, 0.05431811, 173, 171
2500, NaN, 0.8442582, NaN, 0.7331504, 0.04797512, 190, 188
3000, NaN, 0.8426499, NaN, 0.7358455, 0.05552537, 207, 205
3500, NaN, 0.8419187, NaN, 0.7387562, 0.05668959, 224, 222
4000, NaN, 0.8396953, NaN, 0.7401023, 0.03212736, 235, 233
4500, NaN, 0.8384861, NaN, 0.7389944, 0.04880049, 245, 243
5000, NaN, 0.8336166, NaN, 0.742539, 0.05209549, 253, 250
5500, NaN, 0.832562, NaN, 0.7423943, 0.04102147, 263, 260
6000, NaN, 0.8299471, NaN, 0.7435924, 0.04145887, 270, 266
6500, NaN, 0.8309073, NaN, 0.7475325, 0.04553267, 275, 271
7000, NaN, 0.8321168, NaN, 0.7447324, 0.05065621, 285, 282
7500, NaN, 0.8310879, NaN, 0.7483532, 0.06955805, 289, 286
8000, NaN, 0.8309965, NaN, 0.7511434, 0.03847344, 291, 288
8500, NaN, 0.8300248, NaN, 0.7545377, 0.05172693, 294, 291
9000, NaN, 0.830428, NaN, 0.7553756, 0.04092263, 300, 297
9500, NaN, 0.8313628, NaN, 0.757425, 0.0444067, 305, 302
10000, NaN, 0.8301395, NaN, 0.7595733, 0.05874681, 311, 308
10500, NaN, 0.8290941, NaN, 0.7593816, 0.04266203, 313, 310
11000, NaN, 0.8275962, NaN, 0.7610409, 0.05252401, 316, 313
11500, NaN, 0.8278391, NaN, 0.7634079, 0.03671267, 319, 316
12000, NaN, 0.8266979, NaN, 0.7632985, 0.05053738, 322, 318
12500, NaN, 0.8227707, NaN, 0.7630755, 0.05011268, 325, 320
13000, NaN, 0.8196747, NaN, 0.7603933, 0.03049792, 328, 321
13500, NaN, 0.8180336, NaN, 0.7597703, 0.03672691, 332, 324
14000, NaN, 0.8180782, NaN, 0.7619425, 0.03846403, 333, 325
14500, NaN, 0.8151016, NaN, 0.7578444, 0.04088766, 337, 327
15000, NaN, 0.8169104, NaN, 0.7567459, 0.04521447, 339, 329
15500, NaN, 0.8151647, NaN, 0.7562804, 0.02374316, 341, 331
16000, NaN, 0.8137859, NaN, 0.7579278, 0.05097308, 342, 333
16500, NaN, 0.8138936, NaN, 0.7586868, 0.02778648, 342, 333
17000, NaN, 0.8119941, NaN, 0.7568071, 0.02645254, 345, 336
17500, NaN, 0.8120692, NaN, 0.7590029, 0.03498464, 347, 338
18000, NaN, 0.811615, NaN, 0.7594898, 0.0317398, 348, 339
18500, NaN, 0.8089899, NaN, 0.7579213, 0.03813806, 350, 339
19000, NaN, 0.8080692, NaN, 0.7588865, 0.03244063, 353, 342
19500, NaN, 0.8091965, NaN, 0.7649972, 0.07415316, 353, 343
20000, NaN, 0.8080145, NaN, 0.762167, 0.07128816, 356, 346
20500, NaN, 0.8091382, NaN, 0.7634798, 0.03767281, 356, 346
21000, NaN, 0.807712, NaN, 0.7624298, 0.02953533, 357, 346
21500, NaN, 0.8074136, NaN, 0.7624354, 0.04104192, 360, 349
22000, NaN, 0.8073586, NaN, 0.7623899, 0.04688767, 363, 352
22500, NaN, 0.8059736, NaN, 0.7612258, 0.02034042, 366, 354
23000, NaN, 0.8067644, NaN, 0.7617795, 0.05597066, 367, 355
23500, NaN, 0.8073273, NaN, 0.7613317, 0.06529674, 369, 357
24000, NaN, 0.806573, NaN, 0.7607426, 0.03560951, 372, 360
24500, NaN, 0.8062707, NaN, 0.7603909, 0.02853367, 375, 363
25000, NaN, 0.8065211, NaN, 0.7611807, 0.03637124, 376, 364
25500, NaN, 0.8073123, NaN, 0.7618705, 0.03657517, 378, 366
26000, NaN, 0.8074599, NaN, 0.7600856, 0.07462424, 383, 371
26500, NaN, 0.8077798, NaN, 0.7645683, 0.05289209, 384, 372
27000, NaN, 0.8083509, NaN, 0.7634203, 0.02875834, 387, 375
27500, NaN, 0.8068559, NaN, 0.7635964, 0.04494032, 388, 375
28000, NaN, 0.8056461, NaN, 0.7635028, 0.04041868, 391, 378
28500, NaN, 0.8041096, NaN, 0.7631087, 0.05715471, 396, 382
29000, NaN, 0.8059788, NaN, 0.7655751, 0.05969987, 398, 384
29500, NaN, 0.8057255, NaN, 0.7656202, 0.03695208, 400, 386
29999, NaN, 0.8063568, NaN, 0.766441, 0.03661527, 400, 386
